C Num	Enc Time	Test Time	Dec Time	
54400.000000	687.255417	7135.231123	375.060256	
54500.000000	688.416018	7147.284179	375.691717	
54600.000000	690.144373	7165.088439	376.547116	
54700.000000	693.446151	7199.037333	378.239154	
54800.000000	694.613924	7211.141787	378.884237	
54900.000000	695.990039	7225.415425	379.633309	
55000.000000	697.238587	7238.387070	380.317614	
55100.000000	698.393928	7250.395837	380.960195	
55200.000000	699.567597	7262.569585	381.611217	
55300.000000	700.732228	7274.661856	382.258367	
55400.000000	702.045797	7288.303561	382.974935	
55500.000000	703.350993	7301.870866	383.698080	
55600.000000	704.571062	7314.533443	384.376006	
55700.000000	705.840702	7327.731748	385.069623	
55800.000000	707.055757	7340.328336	385.740582	
55900.000000	708.318140	7353.424783	386.431170	
56000.000000	709.594197	7366.683278	387.150704	
56100.000000	710.827325	7379.483738	387.823912	
56200.000000	712.171024	7393.439364	388.573932	
56300.000000	713.324706	7405.417938	389.203067	
56400.000000	714.642912	7419.108353	389.908695	
56500.000000	715.929741	7432.484341	390.617506	
56600.000000	717.094629	7444.569879	391.256146	
56700.000000	718.301622	7457.095985	391.903034	
56800.000000	719.467463	7469.197221	392.543028	
56900.000000	720.626987	7481.224413	393.173870	
57000.000000	721.915287	7494.603105	393.870263	
57100.000000	723.123857	7507.138410	394.544162	
57200.000000	724.390793	7520.283327	395.231122	
57300.000000	725.573614	7532.550120	395.872007	
57400.000000	726.756544	7544.819350	396.510091	
57500.000000	728.070399	7558.470678	397.212232	
57600.000000	729.351549	7571.767731	397.915271	
57700.000000	730.553289	7584.234076	398.567415	
57800.000000	731.719724	7596.330895	399.210588	
57900.000000	732.876850	7608.326921	399.835903	
58000.000000	734.082167	7620.842962	400.499784	
58100.000000	735.339915	7633.903384	401.182424	
58200.000000	736.549947	7646.469498	401.858789	
58300.000000	737.724907	7658.651152	402.494114	
58400.000000	738.869255	7670.517898	403.108837	
58500.000000	740.085796	7683.133454	403.783595	
58600.000000	741.297541	7695.703630	404.435506	
58700.000000	742.444144	7707.584896	405.054858	
58800.000000	743.639244	7719.986491	405.716324	
58900.000000	744.815544	7732.191315	406.347818	
59000.000000	745.985550	7744.337354	406.998682	
59100.000000	747.265162	7757.639527	407.697028	
59200.000000	748.493037	7770.398641	408.378243	
59300.000000	749.722416	7783.162632	409.044662	
59400.000000	750.892152	7795.296278	409.680863	
59500.000000	752.089008	7807.723384	410.341561	
59600.000000	753.295422	7820.252743	411.014836	
59700.000000	754.469501	7832.421193	411.653724	
59800.000000	755.716553	7845.358438	412.323685	
59900.000000	756.871435	7857.345371	412.956582	
60000.000000	758.023786	7869.306269	413.586964	
60100.000000	759.341474	7882.974429	414.308048	
